document_id,clean_text,sentiment
1,"I'm not a die-hard Martin Scorsese fan. I have a deep appreciation for some of his movies, while others don't quite resonate with me. This particular film fell somewhere in the middle for me.Considering its extensive three-hour runtime, the pacing held up well. I never found myself bored, though I can't say I was thoroughly thrilled either. There were moments when it seemed like some of the conversations lacked significant impact on the narrative. The movie truly hits its stride in the final third, where the tension escalates significantly.The acting across the board was outstanding, especially from the lead cast. DiCaprio and De Niro, as always, delivered great performances, and I've become a fan of Lily Gladstone. The visual and set design were also top-notch.I believe it's an important story, and it's skillfully told. While I don't have a strong urge to watch it again, I'm glad I had the chance to see it.07/10.",positive
2,"""Killers of the Flower Moon"" is a Western crime drama film co-written and directed by Martin Scorsese, based on the non-fiction book of the same name by David Grann. Starring Leonardo DiCaprio, Robert De Niro, and Lily Gladstone, it touches upon an often overlooked piece of American history in the best way possible thanks to the talents of its director and cast.In the early 1920s, the discovery of oil on land belonging to the Native American Osage Nation turns the tribe into some of the richest people in the world. This sudden acquisition of wealth attracts the attention of white businessmen looking to seize the opportunity at stealing as much from the Osage tribe as possible. Among this group of interlopers is Ernest Burkhart (Leonardo DiCaprio), whom upon arriving in Oklahoma is encouraged by his uncle William King Hale (Robert De Niro) to marry a member of the Osage as a way of inheriting their fortune. Ernest soon falls in love with and later marries Mollie (Lily Gladstone), a young Osage woman who has strong ties to her family's riches. As the white occupation of native land continues, members of the Osage tribe are repeatedly found murdered under mysterious circumstances, with some of Mollie's close family being among the most prominent victims.One of my favourite things about movies is that in addition to being an enjoyable means of entertainment, they also function as a great method of preservation. No matter obscure the topic may be, if a film is made about it and released into the mainstream, then it has already been permanently preserved in some way. This is especially effective if the filmmaker believes that people should be made aware of something that may otherwise have been forgotten with time, and in doing so, has helped maintain its relevance with the general public. One event that is often glanced over is the Osage Indian murders, a series of slayings of wealthy members of the Native American Osage tribe during the early 20th century. However, thanks to Martin Scorsese's film ""Killers of the Flower Moon"", audiences now have the chance to be both educated and entertained about this overlooked historical occurrence in a movie that provides a sophisticated, eye-opening look at America's treatment of one particular group of their indigenous population.Much like most of Scorsese's best known work, the film is framed as an epic, in-depth study of the dark side of human nature. We watch how the Osage tribe, who live in harmony among themselves, are forcibly thrust into the sights of the outside world after oil is found on their land. In spite of the vast wealth they have all accumulated, the Osage are unable to hold back against the large tide of white people showing up and attempting to steal away everything that is rightly theirs. Because of this, the tribe's happy existence has been compromised as they are subjected to frequent discrimination, first verbal and then physical. It is here we see the sinister plan of William King Hale come into play, where he marries off his nephew Ernest into the Osage as a way of pilfering their riches when the time is right. What makes this scheme so intriguing to watch is not only the patience required to pull it off but the ethical ramifications that result from it. Only a filmmaker like Scorsese could explore a topic like this with such complexity, and in a style that remains as timeless as ever.Additionally, almost all of Scorsese's visual trademarks as a director are on full display here, from his wide-open cinematography designed to immerse the audience in the world of 1920s America to his creative framing of characters in shot to give a certain perspective on a scene. One in particular that stood out to me was during a conversation between Ernest and William as they discuss business regarding the Osage. We see the two seated inside a darkly lit room discussing what type of future lies ahead for the entire tribe, with Ernest choosing to remain loyal to his Osage wife Mollie, while his uncle William reminds his nephew of the important reason why he married her in the first place. Here, Scorsese places the characters in a way that makes them look out of place inside a single bright spot in the dark room. The darkness surrounding these two can be likened to a perfect visual representation of their true intentions and the supposed brightness focused on them is in actuality a metaphor for their tainted presence on everything the Osage have created up until this point.Due to the scale of its theme and plotting, the film rightfully earns its long runtime of almost three and a half hours (206 minutes in total). This is because there are so many different facets to explore with each of the characters, as their actions and the resulting consequences make for a compelling viewing experience. While I personally think this made the film more interesting to watch, I'm not entirely sure the same can be said for casual viewers. The film's pacing is intentionally slow as a means to build tension in the air, which I believe works rather effectively, and the minimal musical score is used as a method to showcase a more realistic point of view during scenes of raw emotion. In other words, this is a film that requires patience and an attentive mind, something of which is greatly rewarded to anybody who manages to display both of these virtues. To that effect, Scorsese has made a film that is heavily reliant on atmosphere rather than the frequent action of most other Hollywood blockbusters.In his sixth collaboration with the legendary director, Leonardo DiCaprio delivers yet another memorable performance in the role of Ernest Burkhart. What makes DiCaprio's character so intriguing is his indecisive nature, in that he is torn between supporting his own white family or his Osage wife Mollie. On one hand, Ernest's loyalty towards his birth family is what made him go ahead with his uncle's idea in the first place, while on the other hand when he truly falls for Mollie he cannot bring himself to end her along with her entire tribe. DiCaprio displays his signature range of emotion here, alternating between a strong family man and a submissive weakling doing his uncle's bidding, both of which he pulls off quite effectively.After working on ten films together, Robert De Niro steps back from his usual spot as the Scorsese lead and into the supporting role as William King Hale, where he is essentially the main antagonist of this story. Hale is a man who is determined to weasel his way into wealth, regardless of whether or not he has truly earned it. His intentions are malicious and are only meant to serve his own personal gain, with little regard for the wellbeing of others, even his nephew. What I consider to be his worst character trait is that he believes all of his actions are justified by what the Bible says about spreading the Word of God. His claim that God wants him to participate in the genocide of an entire race of people is nothing short of evil, and he demonstrates this at numerous points throughout the film. A role like this is perfect for an actor like Robert De Niro, and what better director to show this to the world than Martin Scorsese?However, the film's true standout would have to be Lily Gladstone as Mollie, who is truly the heart and soul of this story. Here is a woman who has experienced so much pain and heartbreak in her life, whether it's her own physical ailments or the sudden death of her relatives. Yet, despite all these hardships, Mollie remains as steadfast as ever, choosing to be a loving wife to her husband and caring mother to her young children. Mollie essentially represents all of the positive values that her tribe upholds, and she is among the last of her family who hasn't completely sold herself out to the ideals of a rich lifestyle. This is easily a career defining role for Gladstone, and she certainly has potential to be noteworthy star one day.For the American history buff and the Martin Scorsese fan, ""Killers of the Flower Moon"" represents a fascinating look into the best of both worlds. It brings attention to an often neglected historical issue through use of another well-crafted cinematic addition to a beloved filmmaking veteran's library. As mentioned previously, it is nice to know that this story has now been effectively preserved through the medium of film, which means that future generations will be able to watch it back and learn about the horrific events that took place during this time period. After all, as the classic saying goes - those who don't learn from history are doomed to repeat it.I rate it a solid 9/10.",positive
3,"Positives: I loved the casting. Leonardo DiCaprio, Robert DeNiro, and Lily Gladstone did a fantastic job in this film.Covers the book well, touching on most of the major highlights of it.Negatives:
I read the book and that was 1000% more intense, paced well, and left you hanging on every word. The movie revealed everything to us in chronological order in a very slow fashion, thereby eliminating all suspense and mystery.The movie was 1.5 hours too long. Martin could have cut down the movie and made it more concise by highlighting the greed of white man when they struck oil, how many of those men swindled Osage out of their fortunes, covered more of the introduction of J. Edgar Hoover and the birth of the FBI (all of his trials and tribulations, including mistakes made during this investigation), included some small but crucial moments like mentioning that Ernest was Mollie's guardian, bring up that Lizzie's death was suspected posioning, reduced some of the cinematic shots that Martin seems fixated on (you'll know when you see them), and I wish he introduced this movie from the perspective of the FBI.",neutral
4,"I never heard of Osage Nation before this. It was a 3 hour 26 minute education not just of the oil wealth and of American Indian culture but of sensitive filmmaking crafted so beautifully Michelangelo would have cried. Lily Gladstone has a classic, timeless, renaissance Madonna face and Robbie Robertson's tender score embellished her sensitive performance perfectly. True to Mr Scorsese's form, it ran so long and needed a deus ex machine ending that while innovative, brought (for me) the film to a premature end. Dessert was served too soon. Otherwise, I could not say a bad thing about this show. Mr Scorsese, I wish you a very long life so you can continue your master craft for mere mortals like me for a long time to come.",neutral
5,"Straight up it is a good movie but somehow just feels lacking it multiple places which drags it down. First, the acting by DiCaprio was great and I'm not his biggest fan but after 'Don't Look Up' he once again just pours this emotional effort into scenes he doesn't need to and makes them all elevated which I think helps this movie a lot. Gladstone, De Niro were decent and Plemons wasn't asked to do a whole lot but was fine.Secondly, after seeing Oppenheimer which was a dialogue heavy movie and being gripped from start to finish with the tension building being 10/10 to seeing this and not for one second feeling any tension. As the FBI came knocking I felt I should've been getting itchy for DiCaprio and De Niro but for some reason it just wasn't landing with me. The script was nothing special and I haven't said this for awhile about a movie but it was truly boring. Scenes I could feel like 000o this feels like it's going to escalate here but it doesn't, just keeps this one pace tone the whole way through. The murders just felt so... bleh like it wasn't a big deal and provoked zero emotion from me each time.Lastly, I don't need non-stop action, in fact I don't need any action in a movie to be gripped from go to whoa but the acting and script need to be top tier to do that and this just missed with that. The story would be more interesting if it really did show the bigger picture more and made it feel more impactful, where this just felt like kinda one family with people dying that barely had screen time, that you didn't get to know and therefore care about.Killers Of The Flower Moon is the not masterpiece you expect it to be and is a bit of a slog at times to keep your interest peaked. I'd wait for it to come to Apple TV.",negative
6,"I am really bummed about how this one turned out. I love the very politically, morally, and racially charged story. I love Eric Roth, I think he's a living legend screenwriter. I loved DiCaprio and Gladstone, they were both brilliant and had beautiful chemistry together. DiCaprio's character is really interesting, he kind of reminds me of the murderer from Act of Killing. Just so dumb he doesn't realize what a monster he is.But this freaking movie is too long and a big mess. The first two hours are very repetitive, and I had a hard time keeping track of all the characters, and who was who, and who was supposed to be murdering who, and for what reason exactly. When Jesse Plemons shows up it does pick up finally, but by then I was so overwhelmed and fatigued that I didn't enjoy it as much as I'd have liked.Also, oddly enough I noticed the sound was TERRIBLE in some scenes. Really crappy dialogue recording. Very surprising.Anyway, I might read the book now, cause the story seems really compelling but I don't think they really did it enough justice here.",negative
7,"This is a very good movie, but it could have been told in an hour less. The material is grim, but I guess that's part of the story telling.I can't understand why this couldn't have been done in 2 hours. The plot didn't warrant it, and the acting almost held it up. But we could all see where this was going.The court sequence was way too long and muddled the nature of the story. Is it an historical account of what happened to these poor people? Is it a story about duplicity in a relationship? Is it about greed and human nature? Is it about psychopaths? Or a court room drama?For me, it would have been an 8/10 if it didn't drag on unnecessarily. Great acting. Great story. Just drawn out.",positive
8,"First of all, I would like to address the reviews that state this film is about pushing ""liberal white guilt"". It is not, it is a true story with villains who were tried and convicted in the American court system after an investigation led by the conservative head of the FBI, J Edgar Hoover. I highly recommend that everyone reads the nonfiction book of the same title by David Grann prior to watching this film.I was fortunate to see an advanced screening of this film yesterday at the Zurich Film Festival. Martin Scorsese certainly satisfied the monumental challenge of bringing this story to the cinema. The actors fully possess their tragic and complicated characters, especially Leonardo DiCaprio and Lily Gladstone (who I hope to see more of). The score, cinematography and featured songs only contributed further.Despite its length, the rather abrupt but appropriate conclusion left me feeling melancholic to depart this cinematic masterpiece and it has remained in my thoughts for hours since. Please go and watch this film and recommend it to others once you do.",positive
9,"Leonardo Di Caprio returns from World War One to Oklahoma, where oil has made the Osage Indians rich. After long, meandering talks with his uncle, Robert De Niro, Di Caprio runs a taxi, and picks up Lily Gladstone, a pure-blood Osage, and begins to drive her regularly. They fall in love, and eventually have three children, while someone is busy killing off Osage Indians.This being a Scorsese movie with a stellar cast, it is impeccably written, directed, and shot. I don't know what Thelma Schoonmaker, Scorsese's long-time editor, was doing. At more than three hours before he wraps it up with a ten-minute epilogue, presented as an episode of Gangbusters talking about where everyone wound up spending the rest of their lives. It goes on too long for a movie, at least for a movie without a break. This is the upside and downside of companies like Amazon and Netflix having the wherewithal to tempt great film makers with large gobs of money. Because the viewer at home will watch a movie like this at his leisure, taking time to go to the bath room, having a meal, and so forth, it's made for him. There is no need to edit this down. What could have been cut to a reasonable length without DiCaprio's army career and finding out that he lived in a trailer in his final years is left in, with only the audience's bladders telling them it's time to leave this story. What would have made a fine mini-series on television must be watched in one go in the movie theater, trapped between the gorgeous images, and the fact that every minute of screen time cuts two points off the IQ of DiCaprio's character.It's a movie that really should be seen in the theater for the size and audience, and yet makes it impossible.",positive
10,"The good: 2 brilliant actors, Leonardo Di Caprio and Robert DeNiro acting quite well. Not extraordinary well, but they really deliver solid performances. It's always a joy to watch them perform.The bad: this movie LASTS WAY TOO LONG. Come on, 3 hours and 20 minutes! BEWARE: this aint no gripping masterpiece, this aint no fastpaced spectacle, this aint no visceral drama. It's merely a SLOWburning portrait, which was already wearing my patience thin after half an hour...The first 90 minutes into the story we get to see nothing else but money hungry men, marying Indian women for their land (rich on oil) and then (once married) slowly poison those Indian wives with an altered ""medicine"" which makes them terminally ill. And when they die, they own their oil rich land. Copy repeat. On and on the same plot. May sound vicious and intrigueing, but it was the opposite.How did director Martin Scorsese manage to ruin such a devestating story? By simply NOT restraining himself in time. And by not injecting any TRUE drama or thrill. It just toddles along. Only after 2 hours, the pace takes up and there is some spark and punch to be experienced.There are more faults with Martin Scorsese's direction. His choice of editing, photography, soundscore, are all below his usual level of quality of directing. Not terrible, but quite average. Martin Scorsese's movies used to be wild and dangerous and fast. None of that is to be seen in Killers of the Flower Moon.Disappointed. Not a terrible flick, merely a tedious one and that's a huge pity when you have such talent and money available with the potential to make something truly great...Thank you for reading my 2100 th review on Imdb !",positive
